Date,Event,Category
6/11/1963,Governor Wallace blocks the schoolhouse door at the University of Alabama,Civil Rights & Social Movement
6/16/1963,Valentina Tereshkova becomes the first woman in space,Space & Astronomy
7/1/1963,U.S. Postal Service starts using ZIP code system,Politics & Government
8/5/1963,The U.S. and USSR sign the Partial Nuclear Test Ban Treaty,Politics & Government
8/28/1963,"Martin Luther King Jr. delivers his ""I Have a Dream"" speech",Politics & Government
8/28/1963,"More than 200,000 gather for the March on Washington",Civil Rights & Social Movement
9/15/1963,A bombing kills four girls at a Birmingham church,Civil Rights & Social Movement
11/22/1963,Aldous Huxley and C.S. Lewis die the same day as President Kennedy,Politics & Government
11/22/1963,President John F. Kennedy is assassinated in Dallas,Crime & Assassination
11/22/1963,CBS interrupts programming to report the Kennedy assassination,Crime & Assassination
12/12/1963,Kenya gains independence from Britain,Politics & Government
2/9/1964,The Beatles make their American television debut on Ed Sullivan,"Arts, Literature & Media"
2/9/1964,The Beatles make their American television debut on The Ed Sullivan Show,"Arts, Literature & Media"
2/25/1964,Cassius Clay defeats Sonny Liston to become heavyweight champion,Sports
7/2/1964,President Johnson signs the Civil Rights Act,Civil Rights & Social Movement
8/2/1964,U.S. destroyers report an attack in the Gulf of Tonkin,War & Military Conflict
8/2/1964,A reported naval clash in the Gulf of Tonkin escalates U.S. involvement in Vietnam,War & Military Conflict
8/7/1964,Congress passes the Gulf of Tonkin Resolution,Politics & Government
2/21/1965,Malcolm X is assassinated in New York City,Crime & Assassination
3/7/1965,State troopers attack marchers on Bloody Sunday in Selma,Civil Rights & Social Movement
3/8/1965,First U.S. troops arrive in Vietnam,War & Military Conflict
3/18/1965,Alexei Leonov performs the first spacewalk,Space & Astronomy
3/21/1965,"Martin Luther King Jr. leads march from Selma to Montgomery, AL",Politics & Government
8/6/1965,President Johnson signs the Voting Rights Act,Civil Rights & Social Movement
8/9/1965,Singapore separates from Malaysia and becomes independent,Politics & Government
10/1/1965,An attempted coup in Indonesia leads to Suharto's rise to power,Politics & Government
11/22/1965,Frank Sinatra records at the height of his career,"Arts, Literature & Media"
2/3/1966,The Soviet Luna 9 becomes the first spacecraft to soft-land on the Moon,Space & Astronomy
9/6/1966,Star Trek television program premieres,"Arts, Literature & Media"
10/21/1966,"A coal waste landslide buries a school in Aberfan, Wales",Disaster & Tragedy
1/15/1967,The Green Bay Packers win the first Super Bowl,Sports
1/27/1967,"Apollo 1 fire kills astronauts Grissom, White, and Chaffee",Space & Astronomy
6/1/1967,The Beatles release Sgt. Pepper's Lonely Hearts Club Band,"Arts, Literature & Media"
6/5/1967,Six Day War begins between Isreal and it's Arab neighbors,War & Military Conflict
6/5/1967,Israel launches the Six-Day War against Arab neighbors,War & Military Conflict
8/30/1967,Thurgood Marshall becomes the first black Supreme Court Justice,Politics & Government
1/2/1968,First successful human heart transplant performed,Science & Technology
1/30/1968,North Vietnamese forces launch the Tet Offensive,War & Military Conflict
1/30/1968,North Vietnamese and Viet Cong forces launch the Tet Offensive,War & Military Conflict
1/31/1968,Communist forces launch the surprise Tet Offensive,War & Military Conflict
3/16/1968,U.S. troops kill hundreds of civilians at My Lai,War & Military Conflict
4/4/1968,Martin Luther King Jr. is assassinated in Memphis,Crime & Assassination
4/4/1968,Civil rights leader Martin Luther King Jr. is assassinated in Memphis,Crime & Assassination
6/5/1968,Robert F. Kennedy is assassinated in Los Angeles,Crime & Assassination
6/6/1968,Senator Robert F. Kennedy is assassinated in Los Angeles,Crime & Assassination
7/1/1968,Nations sign the Nuclear Non-Proliferation Treaty,Politics & Government
8/20/1968,"Soviet-led forces invade Czechoslovakia, crushing the Prague Spring",War & Military Conflict
10/2/1968,Mexican troops kill student protesters in the Tlatelolco massacre,Civil Rights & Social Movement
12/9/1968,"Douglas Engelbart demonstrates the computer mouse in ""The Mother of All Demos""",Science & Technology
12/24/1968,Apollo 8 astronauts orbit the Moon on Christmas Eve,Space & Astronomy
6/23/1969,Chappaquiddick incident occurs involving Senator Ted Kennedy,Politics & Government
6/28/1969,The Stonewall riots in New York spark the modern gay rights movement,Civil Rights & Social Movement
7/20/1969,Apollo 11 astronauts Armstrong and Aldrin walk on the Moon,Space & Astronomy
8/9/1969,Followers of Charles Manson murder actress Sharon Tate and others,Crime & Assassination
8/15/1969,The Woodstock music festival opens in New York,"Arts, Literature & Media"
8/15/1969,The Woodstock music festival opens in upstate New York,"Arts, Literature & Media"
8/16/1969,Woostock rock festival begins,"Arts, Literature & Media"
11/14/1969,"Apollo 12 launches, later struck by lightning shortly after liftoff",Space & Astronomy
12/13/1969,The Woodstock era peaks as counterculture reshapes music festivals,"Arts, Literature & Media"
4/11/1970,Apollo 13 launches on its ill-fated mission to the Moon,Space & Astronomy
4/17/1970,The crippled Apollo 13 spacecraft splashes down safely,Space & Astronomy
5/4/1970,Four students killed by National Guard at Kent State University,Civil Rights & Social Movement
6/22/1970,26th Amendment lowers voting age to 18,Politics & Government
9/28/1970,Egyptian President Gamal Abdel Nasser dies,Politics & Government
10/8/1970,Muhammad Ali returns to boxing after his exile for draft refusal,Sports
1/1/1971,"Intel releases the 4004, the first commercial microprocessor",Science & Technology
1/12/1971,All in the Family debuts on CBS,"Arts, Literature & Media"
3/26/1971,"East Pakistan declares independence, leading to the creation of Bangladesh",Politics & Government
5/26/1972,Nixon and Brezhnev sign the SALT I arms treaty,Politics & Government
6/17/1972,Burglars are arrested at the Watergate complex,Crime & Assassination
8/26/1972,"The Munich Olympics open, later marked by a deadly hostage crisis",Sports
9/5/1972,Palestinian militants attack Israeli athletes at the Munich Olympics,War & Military Conflict
9/5/1972,Palestinian militants kill eleven Israeli athletes at the Munich Olympics,War & Military Conflict
12/11/1972,Apollo 17 astronauts make the final crewed Moon landing,Space & Astronomy
1/1/1973,"Britain, Ireland, and Denmark join the European Economic Community",Business & Economy
1/22/1973,The Supreme Court legalizes abortion nationwide in Roe v. Wade,Politics & Government
1/23/1973,Nixon announces a peace agreement ending U.S. involvement in Vietnam,Politics & Government
1/27/1973,The Paris Peace Accords end direct U.S. involvement in Vietnam,Politics & Government
3/2/1973,Vietnam peace treaty signed in Paris,Politics & Government
4/3/1973,Martin Cooper makes the first handheld cellphone call,Science & Technology
5/14/1973,The U.S. launches the Skylab space station,Space & Astronomy
6/23/1973,Secretariat wins the Triple Crown at the Belmont Stakes,Sports
9/11/1973,A military coup overthrows President Allende in Chile,War & Military Conflict
9/11/1973,General Pinochet seizes power in Chile,War & Military Conflict
9/11/1973,A military coup led by General Pinochet overthrows Chile's President Allende,Politics & Government
9/20/1973,Billie Jean King defeats Bobby Riggs in the Battle of the Sexes,Sports
10/6/1973,"Egypt and Syria attack Israel, starting the Yom Kippur War",War & Military Conflict
10/6/1973,"Egypt and Syria launch a surprise attack on Israel, starting the Yom Kippur War",War & Military Conflict
12/4/1973,Pioneer 10 reaches Jupiter,Space & Astronomy
4/8/1974,Hank Aaron breaks Babe Ruth's career home run record,Sports
4/25/1974,The Carnation Revolution topples Portugal's dictatorship,Politics & Government
5/18/1974,India conducts its first nuclear test,Science & Technology
8/9/1974,President Richard Nixon resigns over the Watergate scandal,Politics & Government
9/8/1974,President Gerald Ford pardons Richard Nixon,Politics & Government
10/3/1974,The Watergate trial began,Crime & Assassination
10/30/1974,Muhammad Ali defeats George Foreman in the Rumble in the Jungle,Sports
1/1/1975,Microsoft is founded by Bill Gates and Paul Allen,Business & Economy
4/4/1975,Bill Gates and Paul Allen found Microsoft,Science & Technology
4/17/1975,Khmer Rouge forces capture Phnom Penh,War & Military Conflict
4/17/1975,Khmer Rouge forces capture Phnom Penh and begin a brutal regime in Cambodia,War & Military Conflict
4/30/1975,"Saigon falls, ending the Vietnam War",War & Military Conflict
7/15/1975,The Apollo-Soyuz Test Project links American and Soviet spacecraft in orbit,Space & Astronomy
7/17/1975,American and Soviet crews dock in orbit for the first time,Space & Astronomy
9/16/1975,Papua New Guinea gains independence,Politics & Government
11/11/1975,Angola gains independence from Portugal,Politics & Government
11/20/1975,Spanish dictator Francisco Franco dies,Politics & Government
11/25/1975,Suriname gains independence from the Netherlands,Politics & Government
4/1/1976,Steve Jobs and Steve Wozniak found Apple Computer,Science & Technology
6/16/1976,Police kill student protesters in the Soweto uprising in South Africa,Civil Rights & Social Movement
7/4/1976,The U.S. celebrates its Bicentennial,Politics & Government
7/18/1976,Nadia Comaneci scores gymnastics' first perfect 10 at the Montreal Olympics,Sports
7/20/1976,The Viking 1 spacecraft lands on Mars,Space & Astronomy
9/3/1976,The Viking 2 lander touches down on Mars,Space & Astronomy
6/5/1977,The Apple II personal computer goes on sale,Science & Technology
7/13/1977,New York City paralyzed by 25 hour black-out,Disaster & Tragedy
8/16/1977,Singer Elvis Presley dies at Graceland,"Arts, Literature & Media"
8/20/1977,NASA launches the Voyager 2 probe toward the outer planets,Space & Astronomy
9/5/1977,NASA launches the Voyager 1 probe toward the outer planets,Space & Astronomy
9/7/1977,The U.S. agrees to hand over the Panama Canal by treaty,Science & Technology
11/19/1977,Egyptian President Sadat becomes the first Arab leader to visit Israel,Politics & Government
4/2/1978,Velcro is first sold,Science & Technology
8/26/1978,Albino Luciani is elected Pope John Paul I,Religion
9/17/1978,The Camp David Accords are signed,Politics & Government
9/17/1978,Diff'rent Strokes-era sitcoms dominate American television ratings,"Arts, Literature & Media"
10/16/1978,Cardinal Karol Wojtyla is elected Pope John Paul II,Religion
11/18/1978,Over 900 people die in the Jonestown mass murder-suicide,Crime & Assassination
1/7/1979,Vietnamese forces oust the Khmer Rouge from Phnom Penh,War & Military Conflict
1/16/1979,The Shah of Iran flees the country amid revolution,War & Military Conflict
1/16/1979,The Shah flees Iran as the Iranian Revolution triumphs,Politics & Government
2/1/1979,"Ayatollah Khomeini returns to Iran, leading the revolution",War & Military Conflict
3/26/1979,Egypt and Israel sign a formal peace treaty,Politics & Government
3/28/1979,A partial meltdown occurs at the Three Mile Island nuclear plant,Disaster & Tragedy
5/4/1979,Margaret Thatcher becomes Britain's first female Prime Minister,Politics & Government
6/18/1979,Carter and Brezhnev sign the SALT II treaty,Politics & Government
9/1/1979,ESPN launches as a 24-hour sports cable network,Science & Technology
11/4/1979,"Iranian militants seize the U.S. Embassy in Tehran, starting the hostage crisis",War & Military Conflict
11/4/1979,"Iranian students storm the U.S. embassy in Tehran, starting the hostage crisis",War & Military Conflict
12/24/1979,The Soviet Union invades Afghanistan,War & Military Conflict
12/27/1979,Soviet forces invade Afghanistan,War & Military Conflict
2/22/1980,The U.S. hockey team stuns the Soviets in the Miracle on Ice,Sports
4/18/1980,Zimbabwe achieves independence after years of conflict,Politics & Government
5/18/1980,Mount St. Helens erupts in Washington State,Disaster & Tragedy
6/1/1980,CNN begins broadcasting as the first 24-hour news channel,Science & Technology
6/27/1980,Pac-Man is released in Japanese arcades,Science & Technology
7/19/1980,The Moscow Olympics open amid a Western boycott over Afghanistan,Sports
9/22/1980,"Iraq invades Iran, beginning the Iran-Iraq War",War & Military Conflict
11/12/1980,Voyager 1 makes its closest approach to Saturn,Space & Astronomy
12/2/1980,Four American churchwomen are murdered in El Salvador,Crime & Assassination
12/8/1980,John Lennon shot and killed in NYC,Crime & Assassination
3/30/1981,President Ronald Reagan survives an assassination attempt,Crime & Assassination
4/12/1981,"The first Space Shuttle, Columbia, launches",Space & Astronomy
8/1/1981,"MTV launches, airing ""Video Killed the Radio Star"" first",Science & Technology
8/12/1981,IBM releases its first personal computer,Science & Technology
9/21/1981,Sandra Day O'Connor becomes the first female U.S. Supreme Court Justice,Politics & Government
10/6/1981,Egyptian President Anwar Sadat is assassinated,Crime & Assassination
12/13/1981,Martial law is declared in Poland to suppress Solidarity,Politics & Government
4/2/1982,Argentina invades the Falkland Islands,War & Military Conflict
4/2/1982,"Argentina invades the Falkland Islands, prompting war with Britain",War & Military Conflict
6/6/1982,Israel invades Lebanon,War & Military Conflict
3/23/1983,President Reagan proposes the Strategic Defense Initiative,Politics & Government
6/18/1983,Sally Ride becomes the first American woman in space,Space & Astronomy
9/1/1983,Soviet fighters shoot down Korean Air Lines Flight 007,War & Military Conflict
9/26/1983,Soviet officer Stanislav Petrov averts a false nuclear alarm,War & Military Conflict
10/23/1983,A truck bombing kills 241 U.S. Marines in Beirut,War & Military Conflict
10/25/1983,U.S. forces invade Grenada,War & Military Conflict
1/1/1984,AT&T's telephone monopoly is officially broken up,Science & Technology
1/24/1984,Apple introduces the Macintosh personal computer,Science & Technology
10/31/1984,Indian Prime Minister Indira Gandhi is assassinated by her bodyguards,Crime & Assassination
12/3/1984,"A gas leak in Bhopal, India kills thousands",Disaster & Tragedy
12/3/1984,"A gas leak at a Union Carbide plant in Bhopal, India kills thousands",Disaster & Tragedy
3/11/1985,Mikhail Gorbachev becomes leader of the Soviet Union,Politics & Government
9/1/1985,A joint expedition locates the wreck of the Titanic,Science & Technology
9/13/1985,The video game Super Mario Bros. is released in Japan,Science & Technology
1/24/1986,Voyager 2 makes its closest approach to Uranus,Space & Astronomy
1/28/1986,Space Shuttle Chanlleger explodes killing all on board,Space & Astronomy
4/15/1986,The U.S. bombs Libya in retaliation for a Berlin nightclub attack,War & Military Conflict
4/26/1986,The Chernobyl nuclear disaster,Disaster & Tragedy
7/23/1986,Voyager data reshapes scientific understanding of the outer solar system,Space & Astronomy
6/12/1987,"President Reagan challenges Gorbachev to ""tear down this wall""",Politics & Government
10/19/1987,Stock markets crash worldwide on Black Monday,Disaster & Tragedy
12/8/1987,The U.S. and USSR sign the Intermediate-Range Nuclear Forces Treaty,Politics & Government
9/17/1988,The Seoul Olympics open,Sports
12/21/1988,"A bomb destroys Pan Am Flight 103 over Lockerbie, Scotland",War & Military Conflict
1/1/1989,Tim Berners-Lee proposes what becomes the World Wide Web at CERN,Science & Technology
3/12/1989,Tim Berners-Lee proposes the World Wide Web,Science & Technology
3/24/1989,The Exxon Valdez spills oil into Alaska's Prince William Sound,Disaster & Tragedy
6/4/1989,Chinese troops crush pro-democracy protests in Tiananmen Square,War & Military Conflict
6/4/1989,Poland holds its first partially free elections since WWII,Politics & Government
8/25/1989,Voyager 2 makes its closest approach to Neptune,Space & Astronomy
11/9/1989,The Berlin Wall falls,Politics & Government
11/9/1989,"The Berlin Wall falls, symbolizing the end of the Cold War divide",Politics & Government
12/25/1989,Romanian dictator Nicolae Ceausescu is executed,Crime & Assassination
2/11/1990,Nelson Mandela is released from prison after 27 years,Civil Rights & Social Movement
4/24/1990,The Hubble Space Telescope is launched into orbit,Space & Astronomy
5/22/1990,Microsoft releases Windows 3.0,Science & Technology
7/26/1990,President Bush signs the Americans with Disabilities Act,Civil Rights & Social Movement
8/2/1990,"Iraq invades Kuwait, Emir flees to Saudi Arabia",War & Military Conflict
8/2/1990,"Iraq invades Kuwait, prompting the Gulf War",War & Military Conflict
10/3/1990,East and West Germany reunify,Politics & Government
11/12/1990,Tim Berners-Lee submits his formal proposal for the World Wide Web,Science & Technology
11/22/1990,The Sega Genesis and Super Nintendo era of gaming peaks in the U.S.,Science & Technology
12/1/1990,Workers complete the Channel Tunnel connection under the sea,Science & Technology
1/17/1991,The Gulf War air campaign begins with Operation Desert Storm,War & Military Conflict
6/12/1991,Boris Yeltsin is elected president of the Russian republic,Politics & Government
7/24/1991,India launches sweeping economic liberalization reforms,Business & Economy
7/31/1991,Bush and Gorbachev sign the START I arms reduction treaty,Politics & Government
8/6/1991,The first website goes live on the World Wide Web,Science & Technology
8/19/1991,Hardline Soviet officials attempt a coup against Gorbachev,War & Military Conflict
9/17/1991,South and North Korea both join the United Nations,Politics & Government
12/8/1991,"Leaders sign the Belavezha Accords, dissolving the Soviet Union",Politics & Government
12/25/1991,Mikhail Gorbachev resigns as the final leader of the Soviet Union,Politics & Government
12/26/1991,The Soviet Union is officially dissolved,Politics & Government
12/26/1991,The Soviet Union is formally dissolved,Politics & Government
2/7/1992,"European leaders sign the Maastricht Treaty, founding the European Union",Politics & Government
7/25/1992,The Barcelona Olympics open,Sports
9/16/1992,The British pound crashes out of the European exchange rate mechanism,Disaster & Tragedy
4/30/1993,CERN places the World Wide Web software in the public domain,Science & Technology
5/24/1993,Eritrea formally gains independence from Ethiopia,Politics & Government
9/13/1993,Rabin and Arafat sign the Oslo Accords on the White House lawn,Politics & Government
10/4/1993,Yeltsin orders tanks to shell the Russian parliament building,War & Military Conflict
1/1/1994,The North American Free Trade Agreement takes effect,Business & Economy
1/1/1994,"The Zapatista uprising begins in Chiapas, Mexico",Civil Rights & Social Movement
2/12/1994,"The Winter Olympics open in Lillehammer, Norway",Sports
4/6/1994,The Rwandan genocide begins,Crime & Assassination
4/6/1994,The assassination of Rwanda's president triggers the Rwandan genocide,Crime & Assassination
4/27/1994,South Africa holds its first multiracial elections,Politics & Government
5/6/1994,"The Channel Tunnel opens, linking Britain and France",Science & Technology
5/6/1994,"Britain and France open the Channel Tunnel, linking Britain and France",Business & Economy
5/10/1994,Nelson Mandela sworn in as South Africa's first black president,Civil Rights & Social Movement
5/10/1994,The Chunnel construction crews complete the Channel Tunnel breakthrough,Science & Technology
6/12/1994,O.J. Simpson's ex-wife and her friend are found murdered in Los Angeles,Crime & Assassination
7/4/1994,Jeff Bezos founds Amazon as an online bookstore,Business & Economy
10/26/1994,Israel and Jordan sign a peace treaty,Politics & Government
12/9/1994,Sony launches the PlayStation console in Japan,Science & Technology
12/11/1994,"Russian troops enter Chechnya, starting the First Chechen War",War & Military Conflict
1/1/1995,The World Trade Organization is established,Business & Economy
4/19/1995,A truck bomb destroys the Alfred P. Murrah Building in Oklahoma City,War & Military Conflict
5/23/1995,Sun Microsystems releases the Java programming language,Science & Technology
7/16/1995,Amazon.com opens for business as an online bookstore,Science & Technology
8/9/1995,Netscape's public stock offering fuels the dot-com boom,Business & Economy
8/24/1995,Microsoft releases Windows 95 amid huge fanfare,Science & Technology
9/4/1995,eBay is founded as an online auction site,Science & Technology
9/7/1995,Amazon ships its first book order,Business & Economy
10/3/1995,A jury acquits O.J. Simpson of murder charges,Crime & Assassination
11/4/1995,Israeli Prime Minister Yitzhak Rabin is assassinated,Crime & Assassination
11/21/1995,The Dayton Agreement ends the war in Bosnia,War & Military Conflict
7/5/1996,"Scientists in Scotland clone Dolly the sheep, the first mammal cloned from an adult cell",Science & Technology
7/1/1997,Hong Kong is handed over from Britain to China,Politics & Government
7/4/1997,Mars Pathfinder lands on Mars,Space & Astronomy
8/31/1997,"Diana, Princess of Wales, dies in a car crash in Paris",Disaster & Tragedy
9/5/1997,Mother Theresa dies in Calcutta at age 87,Religion
12/11/1997,Nations adopt the Kyoto Protocol on climate change,Politics & Government
5/11/1998,India conducts a series of nuclear weapons tests at Pokhran,Science & Technology
7/17/1998,Nicholas II of Russia and family buried 80 years after they are assasinated,Crime & Assassination
8/7/1998,Bombs strike U.S. embassies in Kenya and Tanzania,War & Military Conflict
9/4/1998,Larry Page and Sergey Brin found Google,Science & Technology
9/23/1998,Google's founders file for incorporation,Science & Technology
11/20/1998,The first module of the International Space Station is launched,Space & Astronomy
12/19/1998,The U.S. House of Representatives votes to impeach President Clinton,Politics & Government
12/20/1998,U.S. President William Jefferson Clinton is impeached,Politics & Government
1/1/1999,The euro currency is introduced across much of Europe,Business & Economy
12/31/1999,"Russian President Boris Yeltsin resigns, naming Vladimir Putin acting president",Politics & Government
12/31/1999,Fears of the Y2K computer bug peak as the millennium turns,Science & Technology
12/31/1999,The United States formally transfers the Panama Canal to Panama,Science & Technology
3/10/2000,The dot-com bubble reaches its peak on the Nasdaq,Business & Economy
9/15/2000,The Sydney Olympics open,Sports
10/12/2000,A suicide attack strikes the USS Cole in Yemen,War & Military Conflict
9/11/2001,Terrorists attack the World Trade Center and Pentagon,War & Military Conflict
9/21/2001,Congress approves funds to bail out the airline industry after 9/11,Politics & Government
10/7/2001,U.S. forces begin operations in Afghanistan,War & Military Conflict
10/26/2001,Congress passes the USA PATRIOT Act,Politics & Government
11/22/2001,Microsoft releases its first Xbox console,Science & Technology
12/11/2001,China formally joins the World Trade Organization,Business & Economy
1/1/2002,Euro banknotes and coins enter circulation across the eurozone,Business & Economy
2/8/2002,The Winter Olympics open in Salt Lake City,Sports
2/1/2003,The Space Shuttle Columbia disintegrates during re-entry,Space & Astronomy
3/1/2003,The Department of Homeland Security begins operations,Politics & Government
3/20/2003,The United States invades Iraq,War & Military Conflict
4/14/2003,The Human Genome Project completes a full sequence of human DNA,Science & Technology
4/30/2003,"Apple launches the iTunes Store, reshaping the music industry",Science & Technology
9/4/2003,MySpace launches as an early social networking site,Science & Technology
12/13/2003,U.S. forces capture former Iraqi leader Saddam Hussein,War & Military Conflict
1/4/2004,The Spirit rover lands on Mars,Space & Astronomy
1/25/2004,The Opportunity rover lands on the opposite side of Mars,Space & Astronomy
2/1/2004,A wardrobe malfunction at the Super Bowl sparks a broadcast standards debate,Sports
2/4/2004,Mark Zuckerberg launches Facebook from his Harvard dorm room,Science & Technology
2/29/2004,Haitian President Jean-Bertrand Aristide flees into exile amid rebellion,Politics & Government
3/11/2004,Bombs kill nearly 200 commuters on trains in Madrid,War & Military Conflict
5/1/2004,"Ten countries, mostly from Eastern Europe, join the European Union",Politics & Government
6/21/2004,SpaceShipOne becomes the first private crewed spacecraft to reach space,Space & Astronomy
9/1/2004,"Chechen militants seize a school in Beslan, Russia",War & Military Conflict
10/4/2004,SpaceShipOne wins the Ansari X Prize for private spaceflight,Space & Astronomy
12/26/2004,"A massive tsunami in the Indian Ocean kills over 230,000 people",Disaster & Tragedy
4/6/2005,YouTube co-founders upload the site's first video,Science & Technology
4/19/2005,Cardinal Joseph Ratzinger is elected Pope Benedict XVI,Religion
7/7/2005,Coordinated bombings strike London's transit system,Crime & Assassination
8/29/2005,Hurricane Katrina devastates the U.S. Gulf Coast,Disaster & Tragedy
3/21/2006,Twitter's founders send the platform's first tweet,Science & Technology
8/24/2006,The International Astronomical Union demotes Pluto to a dwarf planet,Space & Astronomy
11/19/2006,Nintendo releases the Wii console in North America,Science & Technology
1/9/2007,Steve Jobs unveils the first iPhone at Macworld,Science & Technology
6/29/2007,Apple releases the first iPhone,Science & Technology
8/8/2008,The Beijing Olympics open with an elaborate ceremony,Sports
9/15/2008,"Lehman Brothers collapses, deepening the global financial crisis",Business & Economy
11/4/2008,Barack Obama is elected the first African American U.S. President,Politics & Government
11/26/2008,Gunmen attack multiple sites in Mumbai,War & Military Conflict
6/1/2009,General Motors files for bankruptcy protection,Business & Economy
6/25/2009,Singer Michael Jackson dies,"Arts, Literature & Media"
1/12/2010,"A massive earthquake devastates Port-au-Prince, Haiti",Disaster & Tragedy
2/27/2010,A powerful earthquake strikes Chile,Disaster & Tragedy
3/23/2010,President Obama signs the Affordable Care Act into law,Politics & Government
4/3/2010,Apple releases the first iPad tablet,Science & Technology
4/20/2010,An explosion on the Deepwater Horizon oil rig causes a massive Gulf spill,Disaster & Tragedy
10/6/2010,Instagram launches as a photo-sharing app,Science & Technology
12/17/2010,A Tunisian street vendor's protest ignites the Arab Spring,Civil Rights & Social Movement
1/9/2011,South Sudan votes overwhelmingly for independence,Politics & Government
2/11/2011,Egyptian President Hosni Mubarak resigns after mass protests,Politics & Government
3/11/2011,"A massive earthquake and tsunami strike Japan, triggering a nuclear crisis",Disaster & Tragedy
5/2/2011,U.S. forces kill Osama bin Laden in Pakistan,War & Military Conflict
7/22/2011,A gunman kills 77 people in attacks in Norway,War & Military Conflict
10/20/2011,Libyan leader Muammar Gaddafi is killed as his regime collapses,War & Military Conflict
5/25/2012,SpaceX's Dragon becomes the first private craft to dock with the ISS,Space & Astronomy
7/4/2012,Scientists at CERN announce the discovery of the Higgs boson,Space & Astronomy
7/20/2012,"A gunman opens fire in a movie theater in Aurora, Colorado",Crime & Assassination
7/27/2012,The London Olympics open with a ceremony celebrating British culture,Sports
8/6/2012,The Curiosity rover lands successfully on Mars,Space & Astronomy
12/14/2012,A gunman kills 20 children and 6 adults at Sandy Hook Elementary,Crime & Assassination
3/13/2013,Cardinal Jorge Bergoglio is elected Pope Francis,Religion
4/15/2013,Bombs explode near the finish line of the Boston Marathon,War & Military Conflict
3/9/2014,Malaysia Airlines Flight 370 disappears over the Indian Ocean,Disaster & Tragedy
6/29/2014,The Islamic State group declares a caliphate in Iraq and Syria,War & Military Conflict
10/19/2014,Comet Siding Spring makes a close pass by Mars,Space & Astronomy
11/12/2014,The Philae lander touches down on a comet,Space & Astronomy
4/25/2015,"A major earthquake strikes Nepal, killing thousands",Disaster & Tragedy
6/26/2015,The U.S. Supreme Court legalizes same-sex marriage nationwide,Civil Rights & Social Movement
7/14/2015,NASA's New Horizons probe makes its closest approach to Pluto,Space & Astronomy
9/28/2015,NASA announces evidence of liquid water on Mars,Space & Astronomy
11/13/2015,Coordinated attacks in Paris kill 130 people,War & Military Conflict
12/12/2015,Nearly 200 nations adopt the Paris Agreement on climate change,Politics & Government
2/11/2016,Scientists announce the first detection of gravitational waves,Space & Astronomy
3/22/2016,Bombers strike the Brussels airport and metro,Crime & Assassination
6/23/2016,British voters choose to leave the European Union in the Brexit referendum,Politics & Government
8/5/2016,"The Rio de Janeiro Olympics open, the first held in South America",Sports
11/8/2016,Donald Trump is elected President of the United States,Politics & Government
5/22/2017,"A suicide bomber attacks an arena in Manchester, England",War & Military Conflict
10/15/2017,The #MeToo movement spreads rapidly on social media after allegations against Harvey Weinstein,Civil Rights & Social Movement
10/19/2017,"Astronomers detect Oumuamua, the first known interstellar object",Space & Astronomy
2/6/2018,SpaceX launches the Falcon Heavy rocket on its debut flight,Space & Astronomy
1/9/2020,"The World Health Organization reports a novel coronavirus cluster in Wuhan, China",Disaster & Tragedy
1/31/2020,The United Kingdom formally exits the European Union,Politics & Government
3/11/2020,The World Health Organization declares COVID-19 a global pandemic,Disaster & Tragedy
3/23/2020,Britain enters a nationwide lockdown amid the coronavirus pandemic,Disaster & Tragedy
5/25/2020,The killing of George Floyd in Minneapolis sparks nationwide protests against police brutality,Civil Rights & Social Movement
5/30/2020,SpaceX launches astronauts to the ISS on a commercial crewed flight,Space & Astronomy
12/8/2020,The United Kingdom administers the first approved COVID-19 vaccine dose,Science & Technology
1/6/2021,A mob of rioters storms the U.S. Capitol to disrupt certification of the presidential election,Crime & Assassination
7/23/2021,The Tokyo Olympics open a year late due to the COVID-19 pandemic,Sports
8/15/2021,The Taliban retake control of Kabul as U.S. forces withdraw from Afghanistan,War & Military Conflict
12/25/2021,The James Webb Space Telescope launches on a European rocket,Space & Astronomy
2/24/2022,Russia launches a full-scale invasion of Ukraine,War & Military Conflict
9/8/2022,Queen Elizabeth II dies after 70 years on the British throne,Politics & Government
11/30/2022,"OpenAI releases ChatGPT, spurring a wave of generative AI adoption",Science & Technology
2/6/2023,A powerful earthquake devastates southern Turkey and northern Syria,Disaster & Tragedy
5/6/2023,Charles III is crowned King of the United Kingdom,Politics & Government
8/8/2023,"Wildfires devastate the town of Lahaina on Maui, Hawaii",Disaster & Tragedy
10/7/2023,"Hamas launches a surprise attack on Israel, triggering war in Gaza",War & Military Conflict
7/26/2024,The Paris Olympics open with a ceremony staged along the Seine,Sports
11/5/2024,"Donald Trump is elected to a second, non-consecutive term as U.S. President",Politics & Government
12/8/2024,"Rebel forces oust Syrian President Bashar al-Assad, ending his family's decades-long rule",Politics & Government
4/21/2025,Pope Francis dies at age 88,Religion
5/8/2025,"Cardinal Robert Prevost is elected Pope Leo XIV, the first American pope",Religion
